Generation,Fitmax,Fitness
305,2.42441,0.29750
306,2.42441,0.29778
307,2.42441,0.29944
308,2.42441,0.30070
309,2.42441,0.29795
310,2.42441,0.29436
311,2.42441,0.29934
312,2.42441,0.29817
313,2.42441,0.29709
314,2.42441,0.29709
315,2.42441,0.29803
316,2.42441,0.29693
317,2.42441,0.29818
318,2.42441,0.29762
319,2.42441,0.29764
320,2.42441,0.29647
321,2.42441,0.29557
322,2.42441,0.29408
323,2.42441,0.29408
324,2.42441,0.29270
325,2.42441,0.29493
326,2.42441,0.29507
327,2.42441,0.29608
328,2.42441,0.29501
329,2.42441,0.29510
330,2.42441,0.29619
331,2.42441,0.29425
332,2.42441,0.29411
333,2.42441,0.29405
334,2.42441,0.29634
335,2.42441,0.29852
336,2.42441,0.29987
337,2.42441,0.29868
338,2.42441,0.29930
339,2.42441,0.29637
340,2.42441,0.29771
341,2.42441,0.29757
342,2.42441,0.30164
343,2.42441,0.30044
344,2.42441,0.30191
345,2.42441,0.30076
346,2.42441,0.30113
347,2.42441,0.30229
348,2.42441,0.30233
349,2.42441,0.30115
350,2.42441,0.29866
351,2.42441,0.29703
352,2.42441,0.29734
353,2.42441,0.29718
354,2.42441,0.29708
355,2.42441,0.30046
356,2.42441,0.29914
357,2.42441,0.30087
358,2.42441,0.30092
359,2.42441,0.30121
360,2.42441,0.29720
361,2.42441,0.29850
362,2.42441,0.29979
363,2.42441,0.29964
364,2.42441,0.29964
365,2.42441,0.29964
366,2.42441,0.30083
367,2.42441,0.30056
368,2.42441,0.30186
369,2.42441,0.30065
370,2.42441,0.30186
371,2.42441,0.30299
372,2.42441,0.30212
373,2.42441,0.30482
374,2.42441,0.30760
375,2.42441,0.30875
376,2.42441,0.30964
377,2.42441,0.31116
378,2.42441,0.30837
379,2.42441,0.30991
380,2.42441,0.31017
381,2.42441,0.31010
382,2.42441,0.30781
383,2.42441,0.30448
384,2.42441,0.30329
385,2.42441,0.30305
386,2.42441,0.30310
387,2.42441,0.30449
388,2.42441,0.30441
389,2.42441,0.30453
390,2.42441,0.30349
391,2.42441,0.30320
392,2.42441,0.30437
393,2.42441,0.30439
394,2.42441,0.30329
395,2.42441,0.30331
396,2.42441,0.30337
397,2.42441,0.30346
398,2.42441,0.30319
399,2.42441,0.30350
400,2.42441,0.30314
401,2.42441,0.30310
402,2.42441,0.30029
403,2.42441,0.30164
404,2.42441,0.30173
405,2.42441,0.30130
406,2.42441,0.30125
407,2.42441,0.30345
408,2.42441,0.30480
409,2.42441,0.30370
410,2.42441,0.30370
411,2.42441,0.30382
412,2.42441,0.30393
413,2.42441,0.30473
414,2.42441,0.30439
415,2.42441,0.30667
416,2.42441,0.30646
417,2.42441,0.30629
418,2.42441,0.30445
419,2.42441,0.30445
420,2.42441,0.30546
421,2.42441,0.30596
422,2.42441,0.30612
423,2.42441,0.30747
424,2.42441,0.30370
425,2.42441,0.30493
426,2.42441,0.30635
427,2.42441,0.30396
428,2.42441,0.30500
429,2.42441,0.30594
430,2.42441,0.30476
431,2.42441,0.30598
432,2.42441,0.30711
433,2.42441,0.30709
434,2.42441,0.30710
435,2.42441,0.30826
436,2.42441,0.30945
437,2.42441,0.30744
438,2.42441,0.30728
439,2.42441,0.30741
440,2.42441,0.30572
441,2.42441,0.30933
442,2.42441,0.30828
443,2.42441,0.30837
444,2.42441,0.30860
445,2.42441,0.30861
446,2.42441,0.30869
447,2.42441,0.30771
448,2.42441,0.30764
449,2.42441,0.30879
450,2.42441,0.30657
451,2.42441,0.30807
452,2.42441,0.30680
453,2.42441,0.30843
454,2.42441,0.30961
455,2.42441,0.30800
456,2.42441,0.30866
457,2.42441,0.31077
458,2.42441,0.31105
459,2.42441,0.31127
460,2.42441,0.31133
461,2.42441,0.31135
462,2.42441,0.30943
463,2.42441,0.30838
464,2.42441,0.30826
465,2.42441,0.30943
466,2.42441,0.31090
467,2.42441,0.31045
468,2.42441,0.30924
469,2.42441,0.31059
470,2.42441,0.31316
471,2.42441,0.31318
472,2.42441,0.31111
473,2.42441,0.31128
474,2.42441,0.31490
475,2.42441,0.31277
476,2.42441,0.31564
477,2.42441,0.31562
478,2.42441,0.31366
479,2.42441,0.31491
480,2.42441,0.31599
481,2.42441,0.31498
482,2.42441,0.31180
483,2.42441,0.31710
484,2.42441,0.31600
485,2.42441,0.31480
486,2.42441,0.31453
487,2.42441,0.31494
488,2.42441,0.31403
489,2.42441,0.31528
490,2.42441,0.31625
491,2.42441,0.31616
492,2.42441,0.31379
493,2.42441,0.31614
494,2.42441,0.31638
495,2.42441,0.31521
496,2.42441,0.31459
497,2.42441,0.31365
498,2.42441,0.31474
499,2.42441,0.31577
500,2.42441,0.31533
501,2.42441,0.31555
502,2.42441,0.31817
503,2.42441,0.31634
504,2.42441,0.31523
505,2.42441,0.31634
506,2.42441,0.31521
507,2.42441,0.31928
508,2.42441,0.31807
509,2.42441,0.31682
510,2.42441,0.31809
511,2.42441,0.31701
512,2.42441,0.31582
513,2.42441,0.31592
514,2.42441,0.31483
515,2.42441,0.31623
516,2.42441,0.31607
517,2.42441,0.31714
518,2.42441,0.31861
519,2.42441,0.31758
520,2.42441,0.31647
521,2.42441,0.31629
522,2.42441,0.31642
523,2.42441,0.31516
524,2.42441,0.31572
525,2.42441,0.31810
526,2.42441,0.31808
527,2.42441,0.32070
528,2.42441,0.32186
529,2.42441,0.31869
530,2.42441,0.32122
531,2.42441,0.32167
532,2.42441,0.32045
533,2.42441,0.32057
534,2.42441,0.31948
535,2.42441,0.31958
536,2.42441,0.31974
537,2.42441,0.31851
538,2.42441,0.32081
539,2.42441,0.31960
540,2.42441,0.31968
541,2.42441,0.32111
542,2.42441,0.32368
543,2.42441,0.32081
544,2.42441,0.32112
545,2.42441,0.32102
546,2.42441,0.32345
547,2.42441,0.32472
548,2.42441,0.32372
549,2.42441,0.32301
550,2.42441,0.32183
551,2.42441,0.32289
552,2.42441,0.32568
553,2.42441,0.32303
554,2.42441,0.32180
555,2.42441,0.32381
556,2.42441,0.32410
557,2.42441,0.32346
558,2.42441,0.32373
559,2.42441,0.32344
560,2.42441,0.32566
561,2.42441,0.32450
562,2.42441,0.32324
563,2.42441,0.32397
564,2.42441,0.32414
565,2.42441,0.32302
566,2.42441,0.32170
567,2.42441,0.32297
568,2.42441,0.32413
569,2.42441,0.32320
570,2.42441,0.32293
571,2.42441,0.31930
572,2.42441,0.31890
573,2.42441,0.31973
574,2.42441,0.32124
575,2.42441,0.32122
576,2.42441,0.32255
577,2.42441,0.32156
578,2.42441,0.32271
579,2.42441,0.32053
580,2.42441,0.32053
581,2.42441,0.32293
582,2.42441,0.32193
583,2.42441,0.32312
584,2.42441,0.32356
585,2.42441,0.32351
586,2.42441,0.32343
587,2.42441,0.32229
588,2.42441,0.32283
589,2.42441,0.32277
590,2.42441,0.32175
591,2.42441,0.32320
592,2.42441,0.32293
593,2.42441,0.32517
594,2.42441,0.32308
595,2.42441,0.32301
596,2.42441,0.32146
597,2.42441,0.31988
598,2.42441,0.32144
599,2.42441,0.32138
600,2.42441,0.32021
601,2.42441,0.31927
602,2.42441,0.31883
603,2.42441,0.31898
604,2.42441,0.31754
605,2.42441,0.31878
606,2.42441,0.31989
607,2.42441,0.32219
608,2.42441,0.32104
609,2.42441,0.32227
610,2.42441,0.32255
611,2.42441,0.32352
612,2.42441,0.32639
613,2.42441,0.32463
614,2.42441,0.32252
615,2.42441,0.32268
616,2.42441,0.32193
617,2.42441,0.32477
618,2.42441,0.32726
619,2.42441,0.32728
620,2.42441,0.32631
621,2.42441,0.32838
622,2.42441,0.32641
623,2.42441,0.32651
624,2.42441,0.32644
625,2.42441,0.32631
626,2.42441,0.32633
627,2.42441,0.32540
628,2.42441,0.32544
629,2.42441,0.32604
630,2.42441,0.32848
631,2.42441,0.32640
632,2.42441,0.32527
633,2.42441,0.32620
634,2.42441,0.32826
635,2.42441,0.32737
636,2.42441,0.32743
637,2.42441,0.32531
638,2.42441,0.32530
639,2.42441,0.32512
640,2.42441,0.32696
641,2.51280,0.32565
642,2.51280,0.32901
643,2.60802,0.33188
644,2.60802,0.32959
645,2.60802,0.32861
646,2.60802,0.32767
647,2.60802,0.32897
648,2.60802,0.32797
649,2.60802,0.32679
650,2.60802,0.32823
651,2.60802,0.32831
652,2.60802,0.32843
653,2.60802,0.32754
654,2.60802,0.32905
655,2.60802,0.32774
656,2.60802,0.32772
657,2.60802,0.32677
658,2.60802,0.32548
659,2.60802,0.32666
660,2.60802,0.32673
661,2.60802,0.32539
662,2.60802,0.32528
663,2.60802,0.32521
664,2.60802,0.32648
665,2.60802,0.32509
666,2.60802,0.32529
667,2.60802,0.32412
668,2.60802,0.32424
669,2.60802,0.32621
670,2.60802,0.32513
671,2.60802,0.32409
672,2.60802,0.32491
673,2.60802,0.32501
674,2.60802,0.32500
675,2.60802,0.32607
676,2.60802,0.32494
677,2.60802,0.32833
678,2.60802,0.32739
679,2.60802,0.32577
680,2.60802,0.32548
681,2.60802,0.32541
682,2.60802,0.32536
683,2.60802,0.32406
684,2.60802,0.32490
685,2.60802,0.32518
686,2.60802,0.32604
687,2.60802,0.32474
688,2.60802,0.32664
689,2.60802,0.32791
690,2.60802,0.32809
691,2.60802,0.32695
692,2.60802,0.32573
693,2.60802,0.32541
694,2.60802,0.32535
695,2.60802,0.32390
696,2.60802,0.32516
697,2.60802,0.32501
698,2.60802,0.32625
699,2.60802,0.32522
700,2.60802,0.32630
701,2.60802,0.32499
702,2.60802,0.32382
703,2.60802,0.32389
704,2.60802,0.32597
705,2.60802,0.32486
706,2.60802,0.32592
707,2.60802,0.32372
708,2.60802,0.32475
709,2.60802,0.32475
710,2.60802,0.32474
711,2.60802,0.32468
712,2.60802,0.32466
713,2.60802,0.32555
714,2.60802,0.32439
715,2.60802,0.32351
716,2.60802,0.32612
717,2.60802,0.32706
718,2.60802,0.32695
719,2.60802,0.32822
720,2.60802,0.32920
721,2.60802,0.32989
722,2.60802,0.32768
723,2.60802,0.32871
724,2.60802,0.32900
